,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
85,Minor Category=Other Theft,0.003480375608636219,,,,,,,
9,200203,0.00348450008569341,3.1176367641131764,0.0010505215621660815,0.00048233652919797373,0.002315200692080281,0.0025067124114522455,0.0,0.0
34,200507,0.0034956988594847488,2.806458037762491,0.0003058475942655952,-0.00026677052975709306,0.0003058475942655952,0.0005091830585132728,0.0,0.0
7,200201,0.0035258374014257464,3.083482603226165,0.0,0.0002781751214163523,0.0,0.0005180168356756666,0.0,0.0
43,200607,0.0035484238804264732,2.7094319131104383,-0.0017072113744919795,0.0013536102286491804,0.0017072113744919795,0.0020440718181153144,0.0,0.0
98,Ward Name=Croham,0.003571223691809544,,,,,,,
0,200101,0.003579203792673779,2.98326462714205,7.666398025598601e-05,0.00012649718442107205,0.00027315806053816765,0.0004763192252152249,0.0,0.0
36,200510,0.0036329816063141044,2.8193931672129664,0.004449396473354857,-0.004773251349137944,0.004761987983774814,0.005744006141448839,0.0,0.0
44,200609,0.0036804706635024482,2.6671954195224696,0.00022893760246352099,-0.00010728379261266503,0.00022893760246352099,0.00010728379261266503,0.0,0.0
97,Ward Name=Knightsbridge and Belgravia,0.00391921615406191,,,,,,,
5,200107,0.0040622185677800186,3.1561095289632823,0.00021092284475211776,-2.529159259154002e-05,0.00021092284475211776,0.0009238612087929844,0.0,0.0
39,200601,0.004181886071505649,2.8098997457794623,0.0011240766117768738,-0.0005085654482118327,0.0011240766117768738,0.0005085654482118327,0.0,0.0
37,200511,0.004296249868189873,2.868387126585167,0.0002912373452429142,-0.0005857259953842524,0.0006605081197444256,0.001176559234586656,0.0,0.0
94,Ward Name=Gascoigne,0.004326120658981286,,,,,,,
87,Minor Category=Harassment,0.004389523865531603,,,,,,,
62,200806,0.0044114522164839095,2.785857769857122,-0.022155175319984264,0.08063852671485706,0.02294663638164807,0.08095302462023106,0.0,0.10359670638807872
1,200102,0.004447660176325138,2.571013242802818,0.0015946046539728374,-0.0006555363160686967,0.0018920590423206626,0.002614309679123633,0.0,0.0
14,200211,0.004486164900983287,3.161796888915311,-0.0010334549259865312,0.0007550751614674203,0.0014824968951714335,0.0007550751614674203,0.0,0.0
30,200409,0.004491045860098022,2.882887890194175,8.831487794445088e-05,-0.0006254809830379938,0.001081751932372669,0.002197695388637423,0.0,0.0
21,200307,0.004525083399839855,3.436672855324657,0.001300456687779371,-0.0009556476907461317,0.0023294670006453865,0.002889472483317995,0.0,0.0
12,200207,0.004586486801825317,3.1986993758378968,-0.0012723943195157817,0.0007915996749193693,0.0017827367658549906,0.0011117915148935334,0.0,0.0
96,Ward Name=Lee Green,0.004592116224248355,,,,,,,
83,Borough=Ealing,0.004599127479567852,,,,,,,
8,200202,0.004673910385341998,2.7602736569167186,-0.0006196198952192161,0.0010070710625206798,0.001001532658363812,0.0018853348747949247,0.0,0.0
29,200408,0.004737235948438369,2.9086687892979097,0.0010036967994040524,-0.0001629805640692139,0.0013492133470412713,0.001126892921588441,0.0,0.0
33,200505,0.0047695822185748705,2.8958993221595417,0.008318911614536186,-0.008680015746653101,0.00864778502618257,0.011437536876146216,0.0,0.0
89,Ward Name=Wallington South,0.004810058217813058,,,,,,,
6,200109,0.004948776096854056,2.964038019526708,-0.0016274210656847578,0.0034393789072561017,0.004910032465591244,0.0050494792174791605,0.0,0.0
31,200412,0.004995055925408463,2.650670453247761,0.0013094214418976954,-0.002453561711901582,0.0013296521243020333,0.0027978518759476266,0.0,0.0
27,200403,0.005026810364832052,3.1373227109666595,-0.0013913817080895285,0.001583418332537606,0.0018295046771940166,0.002021541301642096,0.0,0.0
45,200611,0.005046247413480206,2.885496883388802,0.0023488081423308303,-0.0020494664782260423,0.003016366482586778,0.003452519229165995,0.0,0.0
23,200310,0.005124329205896758,3.245301201563384,-0.005102558537439213,0.00937888532669363,0.005294625664685293,0.009791479888530396,0.0,0.0
84,Minor Category=Personal Property,0.0051680465725343,,,,,,,
86,Minor Category=Common Assault,0.005169073574599622,,,,,,,
38,200512,0.005174499083489206,2.6027552340906697,-0.004915488877759069,0.00841427382620209,0.004915488877759069,0.00841427382620209,0.0,0.0
90,Ward Name=Mawneys,0.005198475356705626,,,,,,,
26,200402,0.005436603311145048,2.963848460801786,-0.0004809892699394205,-0.000512897260789099,0.00494413365467979,0.006146595664508485,0.0,0.0
28,200407,0.0054405721530975,2.979046497898591,-0.0012751783151702064,0.00042988586327528033,0.0013486290868899116,0.0007412437091238056,0.0,0.0
88,Minor Category=Theft From Shops,0.005501525924078309,,,,,,,
15,200212,0.005738258726226225,2.730151364617362,-0.0024293276222242476,0.0037874842431459134,0.002516730898657271,0.004305469915671198,0.0,0.0
17,200303,0.00584286439008977,3.133227424714624,0.0010496806330774389,-0.0028232373600080834,0.0018713651585756544,0.0032023270758754067,0.0,0.0
32,200504,0.0058469067647212054,2.6277227495933646,0.0017946515211555536,-0.0007739497076835058,0.004074570444264327,0.003342166352288533,0.0,0.0
99,Ward Name=Woolwich Common,0.005948406084769226,,,,,,,
11,200206,0.00610635333541347,3.2296534454407775,0.001984675217632122,-0.0011825822057711325,0.00266916100793422,0.004070643406401314,0.0,0.0
20,200306,0.006217933486081446,3.145499470909858,0.001772338455056484,-0.004489790713066868,0.003908878720142068,0.006673102212453753,0.0,0.0
16,200302,0.006276409678762963,2.8452290568092815,-0.002106239877188845,0.004701027466291038,0.0026542815440915007,0.005032926153165783,0.0,0.0
22,200309,0.006294733607164813,3.074934234477615,0.00026066368427110756,-0.0023269825809604946,0.0013680063152707199,0.0026082123625882484,0.0,0.0
63,200807,0.006378972876183513,3.160879218472575,-0.01509701977312359,0.02384836874923885,0.01824121590337388,0.027545370643762588,0.0,0.0
50,200706,0.00650410176462144,3.1719505199657654,0.0021327722005503396,-0.002924273304889243,0.006706892859992766,0.008950312086368841,0.0,0.005073147621286508
2,200104,0.006508712293427773,2.7961921912488608,-0.0009155829732379362,-0.0006713459344531796,0.0029914532899559445,0.004230739843073587,0.0,0.0
95,Ward Name=Canonbury,0.006731421259123298,,,,,,,
3,200105,0.00677783634115966,3.0705691637526744,0.0009800458971286495,-0.00037598783943608547,0.0015833073024806076,0.002201947752037122,0.0,0.0
92,Ward Name=East Walworth,0.006836241721114186,,,,,,,
25,200312,0.006872932508882195,2.8720680608032296,-0.0009663643552948601,0.0027135512016672465,0.003084374255452499,0.004310910293835261,0.0,0.0
64,200808,0.007010108236089526,2.826337944278001,-0.014268049102498593,0.022971052238701776,0.018665301993242622,0.023909523305372448,0.0,0.030018396992663954
40,200602,0.007068739338800571,2.7620957331320417,-0.0032970941052472024,0.008680893921154724,0.004814413393722233,0.010574856693361953,0.0,0.0
71,200903,0.007142413021048536,3.0489862607535643,-0.05070316270585026,0.11351023727869497,0.05187013854242813,0.11466547350244591,0.0,0.03830121934008898
4,200106,0.007353983492549526,3.0013352500474815,-0.004156998966719948,0.009175707551126665,0.004324917970197117,0.012046526265353375,0.0,0.013283117305866732
35,200509,0.007547400485782433,2.683551971604436,-0.007285270894928903,0.012691043097715935,0.008778477763753276,0.012691043097715935,0.0,0.0
74,200906,0.007547834385133847,3.183727250179941,-0.008545212918011715,0.02025625693727554,0.01102435491525064,0.023065377772131076,0.0,0.0
56,200712,0.00760126723489833,2.7676006919182745,0.00029092527606024073,-0.0005860977683884587,0.0014375986699053484,0.0005860977683884587,0.0,0.0
72,200904,0.007621257507492776,3.0951693854472047,-0.028898675122233337,0.065856485976336,0.030986200498903504,0.06902187639643007,0.0,0.013122148190552104
24,200311,0.007736084636838518,2.980896045620776,0.00321388411839317,-0.0015350723230733948,0.00744820572082466,0.010306058276158582,0.0,0.0
41,200603,0.007773561863638337,2.8653518738259747,-0.0007747896689591755,0.0013159388758599592,0.0019763819627166292,0.002053540870550603,0.0,0.0
55,200711,0.008150122212990434,3.181818307986774,-0.02137576957977277,0.02979690811995342,0.022214669902481107,0.030687591274048798,0.0,0.0
19,200305,0.008253265975049842,3.2896707033233246,-0.004658106046693164,0.006382693531227625,0.005950264927137929,0.007676443922526322,0.0,0.0
10,200204,0.00833566908867144,3.2490476259607948,0.0020754687333431193,-0.004007858092545172,0.0038053520039407567,0.005716083025736159,0.0,0.0
52,200708,0.008345460488646698,3.3359102763150568,0.0020705105404212757,-0.005827753958543045,0.002359419407254615,0.005827753958543045,0.0,0.0
91,Ward Name=Stratford and New Town,0.008377490487611565,,,,,,,
42,200604,0.008381498829985784,2.6009134257914694,-0.0075203560719090306,0.012804124249413046,0.008658790880974961,0.012831553207304362,0.0,0.0
69,200901,0.008529914699820857,3.009072907983909,-0.026687487942573588,0.07717053533738161,0.027099244380245833,0.07770022733780739,0.0,0.1079671023949088
76,200908,0.008722520283814063,2.855408348462312,-0.03361932557856851,0.0554054685755784,0.036413094958528736,0.056211413022622995,0.0,0.0282884272844246
49,200705,0.008977609159970366,3.067441618628944,-0.0484869333943304,0.22145024781406464,0.05013516362780886,0.2227349471611684,0.0,0.2925002235567594
18,200304,0.009299415773363648,3.041434488518942,-0.006099794199909446,0.009690027118614362,0.00890748579789109,0.015407597242549614,0.0,0.0
61,200805,0.009369285735859769,2.786195264066306,-0.009229423661029147,0.019857109418463772,0.010078275775832644,0.020389646609020602,0.0,0.0
46,200702,0.00967688148300175,2.820185078069641,-0.004665802294698675,0.003951173376601371,0.005519497756546688,0.005265855580903763,0.0,0.0
13,200208,0.009725852259349983,3.0220754144211894,0.00044208289635446597,0.0017466216225336686,0.0007808890004350793,0.004226701088264404,0.0,0.0
47,200703,0.009954166083246722,3.1973634751935385,-0.011173722572191935,0.015512690578384888,0.011856958615336081,0.018354806233445837,0.0,0.0
59,200803,0.010141806538149502,2.93213712916551,-0.03767590001811276,0.18490898032811687,0.03885754993687836,0.18652875383962658,0.0,0.27555133489761385
68,200812,0.010196854510281137,2.9307949275367475,-0.010065868144956379,0.019072463136909284,0.01923949981131404,0.032218912923676006,0.0,0.026526524632208393
93,Ward Name=Wanstead,0.010450858743259742,,,,,,,
77,200909,0.010567820626908574,2.674060186939526,-0.06309216185712324,0.15327769352372853,0.0638072301148424,0.15449475566066342,0.0,0.1510334355035018
53,200709,0.010686042573474216,3.244600305295678,0.0016792059267170666,-0.0016348033878212489,0.003727640297359082,0.004786252322742845,0.0,0.0
54,200710,0.011050960412869099,3.143167571958183,-0.03175752243282772,0.08038756719302938,0.03261838664436809,0.08254646813063073,0.0,0.020251242646623258
60,200804,0.011445769952463668,2.6758842475452145,0.0032861081195579194,0.0016200460024684417,0.005247617216686839,0.002722161882888335,0.0,0.0
58,200802,0.011555035435190644,3.1376450147080757,-0.003581505257423036,0.005097534543338526,0.005020494105627292,0.006705769436234594,0.0,0.0
66,200810,0.011724898820517889,3.3957289984572845,-0.040457232766884635,0.09336317183216644,0.04157095370856915,0.09638075616415087,0.0,0.08181423217376393
51,200707,0.011820907481039374,3.4106887125030543,-0.019660412157726362,0.0929158628487558,0.021104502299300925,0.0929158628487558,0.0,0.1366756215275986
79,200911,0.01235809083476276,3.3469350101579853,-0.04896361587564849,0.17077763998813011,0.04973623643608829,0.1723684442581831,0.0,0.19698047430372526
67,200811,0.012541646488297878,3.2608038495259652,-0.04119109231476029,0.10442914530331092,0.04125526969655851,0.105173245732878,0.0,0.0
48,200704,0.013020344944036838,3.274864599976619,-0.006829492799005927,0.00424227307039004,0.007044327380812122,0.0051111505638026244,0.0,0.0
73,200905,0.013081622948087436,3.4318293899443693,-0.04413385306835539,0.165294377958427,0.044473762952809845,0.16625860373904575,0.0,0.2081401128938567
70,200902,0.014017104405286541,3.154707998306398,-0.022550620386874193,0.05073846133970958,0.026324944129557822,0.060740308204135916,0.0,0.030959095831222125
65,200809,0.014169598836673108,3.004327827361224,-0.030996030645140962,0.05791437787398281,0.034402683793566494,0.06187164798015312,0.0,0.046046046244289485
57,200801,0.014512017975356926,3.3231116197891875,0.005392404407965548,-0.009114015327427998,0.006740194013495533,0.01445587710482131,0.0,0.0
78,200910,0.015046837281998557,3.2661115345668805,-0.09685509705566855,0.2147077129083392,0.10004093191546413,0.21670063494579977,0.028072582924547618,0.06902378591820252
75,200907,0.01826183604586397,3.4128918517991766,-0.07022245812908164,0.2135973599129258,0.0768028982575696,0.21673449648806137,0.004508712516321012,0.23724985040830848
80,200912,0.018680282155676096,3.280948875488051,-0.09254222238741963,0.2337532055457118,0.09290601120315925,0.2358141989257173,0.0,0.19147740240185396
81,201001,0.019137707496188563,3.522853493646727,-0.13782819408725708,0.43145343795664476,0.14118873057622144,0.43942650925800325,0.03363106203318883,0.483030740062993
82,201002,0.0392452833030588,3.124289209246272,-0.16206673214219555,0.49605103693029473,0.16662543429148902,0.4980947202705599,0.0,0.46369498031612155
